filing,thesis,side,n,raw_1h,raw_EOD,raw_D+1,raw_D+2,spy_1h,spy_EOD,spy_D+1,spy_D+2
Q1 2025,Long NEW common (size-wt by cur $),LONG,7,-0.0065531881763850166,,-0.016978730911154837,0.026777219213699285,-0.004733231144853201,,-0.021282014173436413,0.01611265096686791
Q1 2025,Long NEW common (equal-wt),LONG,7,-0.009943868493104422,,-0.025292039511885,0.049512897879485665,-0.008123911461572606,,-0.029595322774166575,0.03884832963265429
Q1 2025,Long INC common only (Δ$ wt),LONG,4,-0.0005170955623738318,,-0.01908250860907901,0.0024396523827307183,0.001302861469157984,,-0.023385791871360587,-0.008224915864100655
Q1 2025,Long NEW+INC common (Δ$ wt),LONG,11,-0.005453130458386227,,-0.017362137369860132,0.02234177894766153,-0.003633173426854411,,-0.021665420632141708,0.011677210700830155
Q1 2025,Long underlying of NEW call options,LONG,1,0.0027686749794211267,,-0.00392886484502164,0.001155517368421455,0.004588632010952942,,-0.008232148107303217,-0.00950905087840992
Q1 2025,Long underlying of NEW+INC calls,LONG,1,0.0027686749794211267,,-0.00392886484502164,0.001155517368421455,0.004588632010952942,,-0.008232148107303217,-0.00950905087840992
Q1 2025,Short EXIT-only common (prior $ wt),SHORT,2,0.006713895661850853,,0.01829249116246649,0.02975571325004104,0.004893938630319037,,0.022595774424748066,0.040420281496872414
Q1 2025,Short DEC-only common (Δsold × prior $),SHORT,0,,,,,,,,
Q1 2025,Short EXIT+DEC common,SHORT,2,0.006713895661850853,,0.01829249116246649,0.02975571325004104,0.004893938630319037,,0.022595774424748066,0.040420281496872414
Q1 2025,Short underlying of NEW put options,SHORT,0,,,,,,,,
Q1 2025,Short underlying of NEW+INC puts,SHORT,0,,,,,,,,
Q2 2025,Long NEW common (size-wt by cur $),LONG,0,,,,,,,,
Q2 2025,Long NEW common (equal-wt),LONG,0,,,,,,,,
Q2 2025,Long INC common only (Δ$ wt),LONG,7,0.0029351133463666277,,-0.0012572176781309478,0.010704922667639855,0.0003538274603214018,,-0.0014126185264602712,0.01076715890482179
Q2 2025,Long NEW+INC common (Δ$ wt),LONG,7,0.0029351133463666277,,-0.0012572176781309478,0.010704922667639855,0.0003538274603214018,,-0.0014126185264602712,0.01076715890482179
Q2 2025,Long underlying of NEW call options,LONG,0,,,,,,,,
Q2 2025,Long underlying of NEW+INC calls,LONG,0,,,,,,,,
Q2 2025,Short EXIT-only common (prior $ wt),SHORT,4,0.005907245993847653,,0.023923707780259956,0.024102304562231686,0.008488531879892878,,0.02407910862858928,0.024040068325049752
Q2 2025,Short DEC-only common (Δsold × prior $),SHORT,0,,,,,,,,
Q2 2025,Short EXIT+DEC common,SHORT,4,0.005907245993847653,,0.023923707780259956,0.024102304562231686,0.008488531879892878,,0.02407910862858928,0.024040068325049752
Q2 2025,Short underlying of NEW put options,SHORT,1,-0.003302609427952241,,0.013711021267827417,0.009674487321807757,-0.0007213235419070152,,0.01386642211615674,0.009612251084625822
Q2 2025,Short underlying of NEW+INC puts,SHORT,1,-0.003302609427952241,,0.013711021267827417,0.009674487321807757,-0.0007213235419070152,,0.01386642211615674,0.009612251084625822
Q3 2025,Long NEW common (size-wt by cur $),LONG,14,-0.01364602321365964,-0.028698685302398087,-0.04428402351968687,-0.04715039098779495,-0.012112673744247003,-0.024099088969597816,-0.03038143800080241,-0.024967049262434544
Q3 2025,Long NEW common (equal-wt),LONG,14,-0.017649442600292893,-0.03370969537300865,-0.032961489886786974,-0.04329704307598886,-0.016116093130880256,-0.02911009904020838,-0.019058904367902516,-0.021113701350628455
Q3 2025,Long INC common only (Δ$ wt),LONG,3,-0.01986973556945927,-0.04808491675297601,-0.05189262742156829,-0.013184133328456945,-0.018336386100046634,-0.04348532042017574,-0.03799004190268383,0.008999208396903461
Q3 2025,Long NEW+INC common (Δ$ wt),LONG,17,-0.014848981296510314,-0.03244577746962443,-0.04575466210960311,-0.04058518008799921,-0.013315631827097676,-0.02784618113682416,-0.031852076590718655,-0.018401838362638805
Q3 2025,Long underlying of NEW call options,LONG,2,-0.010706057521766385,-0.022372395034146075,-0.04811538717561273,-0.054036831027191846,-0.009172708052353748,-0.017772798701345804,-0.03421280165672827,-0.03185348930183144
Q3 2025,Long underlying of NEW+INC calls,LONG,2,-0.010706057521766385,-0.022372395034146075,-0.04811538717561273,-0.054036831027191846,-0.009172708052353748,-0.017772798701345804,-0.03421280165672827,-0.03185348930183144
Q3 2025,Short EXIT-only common (prior $ wt),SHORT,1,0.011221066647138733,0.025779697082566555,0.025578271933785035,0.023621796273301077,0.009687717177726096,0.021180100749766284,0.011675686414900577,0.0014384545479406707
Q3 2025,Short DEC-only common (Δsold × prior $),SHORT,2,-0.00601740387370689,-0.0012482892133810592,0.014754750779599745,0.0195298136821051,-0.007550753343119527,-0.00584788554618133,0.0008521652607152864,-0.0026535280432553043
Q3 2025,Short EXIT+DEC common,SHORT,4,0.003946248711628232,0.009267905157546347,0.011027079038404752,0.01536847427354619,0.0024128992422155953,0.0046683088247460765,-0.0028755064804797063,-0.006814867451814217
Q3 2025,Short underlying of NEW put options,SHORT,5,0.0050527762313842565,0.008737665079566801,0.026422633832336215,0.04591501955460804,0.0035194267619716195,0.0041380687467665305,0.012520048313451757,0.023731677829247635
Q3 2025,Short underlying of NEW+INC puts,SHORT,5,0.0050527762313842565,0.008737665079566801,0.026422633832336215,0.04591501955460804,0.0035194267619716195,0.0041380687467665305,0.012520048313451757,0.023731677829247635
Q4 2025,Long NEW common (size-wt by cur $),LONG,8,-0.009992166358871133,-0.025480597008484953,-0.0442953198823719,0.0061392710755324535,-0.0034584888257925914,-0.01906173452588902,-0.02258335561071212,0.02716199446398924
Q4 2025,Long NEW common (equal-wt),LONG,8,-0.0152514768552022,-0.020463628089774005,-0.033161814240586035,0.01520336367949554,-0.00871779932212366,-0.014044765607178072,-0.011449849968926257,0.03622608706795233
Q4 2025,Long INC common only (Δ$ wt),LONG,15,-0.03147837048719248,0.002834561757963498,-0.030448390110158662,-0.03021660857810503,-0.024944692954113938,0.009253424240559431,-0.008736425838498884,-0.009193885189648244
Q4 2025,Long NEW+INC common (Δ$ wt),LONG,23,-0.02980473153016847,0.0006289905689891136,-0.031526978071231074,-0.027384716255858994,-0.023271053997089928,0.007047853051585047,-0.009815013799571295,-0.006361992867402206
Q4 2025,Long underlying of NEW call options,LONG,1,0.011424480264525583,0.01624419564398627,0.02070688750327121,0.04784006217915637,0.017958157797604124,0.022663058126582203,0.04241885177493099,0.06886278556761316
Q4 2025,Long underlying of NEW+INC calls,LONG,3,-0.03342541510729709,-0.005490524166480799,-0.004325341778954079,0.0009764354714000545,-0.026891737574218547,0.000928338316115134,0.0173866224927057,0.021999158859856843
Q4 2025,Short EXIT-only common (prior $ wt),SHORT,4,0.029734954507847633,0.028771782884805207,0.015741376217243374,-0.03537304656876675,0.02320127697476909,0.022352920402209275,-0.005970588054416404,-0.056395769957223535
Q4 2025,Short DEC-only common (Δsold × prior $),SHORT,0,,,,,,,,
Q4 2025,Short EXIT+DEC common,SHORT,4,0.029734954507847633,0.028771782884805207,0.015741376217243374,-0.03537304656876675,0.02320127697476909,0.022352920402209275,-0.005970588054416404,-0.056395769957223535
Q4 2025,Short underlying of NEW put options,SHORT,1,0.017283992188819042,0.02716052551455439,0.12283954512798423,0.09135805100061622,0.0107503146557405,0.020741663031958457,0.10112758085632445,0.07033532761215944
Q4 2025,Short underlying of NEW+INC puts,SHORT,1,0.017283992188819042,0.02716052551455439,0.12283954512798423,0.09135805100061622,0.0107503146557405,0.020741663031958457,0.10112758085632445,0.07033532761215944
Q1 2025,"L−S: NEW+INC long, EXIT+DEC short",L−S,11+2,0.0012607652034646259,,0.0009303537926063574,0.05209749219770257,0.0012607652034646259,,0.0009303537926063574,0.05209749219770257
Q2 2025,"L−S: NEW+INC long, EXIT+DEC short",L−S,7+4,0.008842359340214281,,0.022666490102129008,0.03480722722987154,0.008842359340214281,,0.022666490102129008,0.03480722722987154
Q3 2025,"L−S: NEW+INC long, EXIT+DEC short",L−S,17+4,-0.010902732584882082,-0.023177872312078084,-0.03472758307119836,-0.02521670581445302,-0.010902732584882082,-0.023177872312078084,-0.03472758307119836,-0.02521670581445302
Q4 2025,"L−S: NEW+INC long, EXIT+DEC short",L−S,23+4,-6.977702232083619e-05,0.02940077345379432,-0.0157856018539877,-0.06275776282462574,-6.977702232083619e-05,0.02940077345379432,-0.0157856018539877,-0.06275776282462574
